"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"VSIG8",-1.57349202859839,0.727277783668222,-19.1710069141676,2.70236092749441e-40,4.25395910986431e-38,81.1538859988547
"ARHGAP22",1.4307230353427,1.2965053288227,19.1552637923642,2.93067008956195e-40,4.58330072768886e-38,81.0729363613788
"ESRP1",-2.27782255485991,1.06187130328297,-19.153101792462,2.96350209940125e-40,4.61959944144327e-38,81.0618171042889
"ADORA2BP1",-1.75625917219722,0.773112632220034,-19.1433338159338,3.11650651115902e-40,4.84238545675621e-38,81.0115725860068
"NHLRC4",-1.73049953356105,1.55848712576232,-19.0851617405367,4.20704967449672e-40,6.51576996683667e-38,80.7120961188313
"C16orf89",-3.67211438748783,2.63504227798014,-19.0757869037953,4.41565640423241e-40,6.8168648000002e-38,80.6637931978042
"P3H1",1.6485019387007,3.20785924598612,19.0737665805814,4.4619562201171e-40,6.86626416795713e-38,80.6533822209954
"EHD2",3.92392689171329,5.50542545185206,19.0548109370464,4.92083863883618e-40,7.54822059833236e-38,80.5556762050315
"CDKN2A",1.86034659349997,1.34008112908617,19.0436720057785,5.21231613271133e-40,7.96986376317632e-38,80.498239816906
"LAMA4",3.26405566146996,3.59531582238997,19.0063034479252,6.32297521157108e-40,9.6374185986651e-38,80.3054389619983
"SLC6A3",5.59900417856161,3.93183248440173,18.9618715684776,7.95734892433852e-40,1.2090134068207e-37,80.0759649220565
"SLC47A2",-4.10122540887724,2.4349159897447,-18.8706503810349,1.27672647108874e-39,1.93369688737895e-37,79.604057843273
"KCNK10",-1.72640650457455,0.812390364003463,-18.8500148857516,1.4210496048524e-39,2.14551678076017e-37,79.4971598512019
"C1orf162",2.66961115789848,3.98915368290182,18.8033311764489,1.81099692252016e-39,2.72569229605134e-37,79.255125656822
