"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PTGR1",-1.3214408932724,5.89524828717874,-12.3267190685692,3.39527554909682e-31,3.44347680884219e-30,59.5142378366233
"CGAS",1.01727715832833,2.22384031537081,12.3225200125069,3.53856882969135e-31,3.58507573431015e-30,59.4731473397634
"TENM1",1.57587908238814,2.28282899009165,12.318823143885,3.66969787368246e-31,3.71599780012612e-30,59.4369778748076
"CEMIP2",1.22699154188332,5.08817513397242,12.3149727230031,3.81141685794534e-31,3.85750197096564e-30,59.3993128574447
"VKORC1",1.06987793336067,6.12841004964157,12.3124337900594,3.90783180503679e-31,3.95098204736302e-30,59.3744806662683
"ZNF692",1.41513642143544,3.54546974680341,12.3082655080981,4.0714119611056e-31,4.11210499624249e-30,59.333719048403
"PREX1",1.33959022082049,5.05207243802776,12.3076576308895,4.09583019079798e-31,4.13462609788473e-30,59.3277752963925
"ASS1",-1.95606999070166,6.98887414787615,-12.3074936411988,4.10244253045358e-31,4.1391586482895e-30,59.3261718539876
"TROAP",1.17623683113831,1.3539462301562,12.3027967105109,4.29640769530202e-31,4.33261837029344e-30,59.2802519935944
"NMB",1.95614896256811,5.34053505135605,12.3022160038919,4.32101399502046e-31,4.35518015219039e-30,59.2745753917666
"NAPEPLD",-1.07590047716554,3.57407894865309,-12.3021567354885,4.32353325120648e-31,4.3554684399938e-30,59.2739960321186
"CD14",1.66669501793398,6.98937983859041,12.299237735846,4.44943371096092e-31,4.47536388163336e-30,59.2454642995197
"HOXA7",-1.37848184061881,2.07773363778532,-12.2942816605658,4.67160755349682e-31,4.69399083543784e-30,59.1970303122206
"RPL22L1",1.15685054161719,4.40206254167154,12.2937221690065,4.6973722580045e-31,4.71744856580133e-30,59.1915633186184
"CRTAM",1.40281684936817,1.64877581608288,12.2843170279613,5.15227207648112e-31,5.17162955777722e-30,59.0996842187423
"CYS1",-2.49905249099337,6.21474117038971,-12.2818583205954,5.27825452716491e-31,5.2948371262721e-30,59.0756718606785
"TNFSF8",1.33881001677765,2.22658682857411,12.2818160267234,5.28044824416717e-31,5.2948371262721e-30,59.0752588327938
"PCDHB10",1.26548019077322,2.49419926064291,12.2791248963576,5.42191482007064e-31,5.43110450620635e-30,59.0489798715874
"ANXA1",1.38336212708403,6.58995196805486,12.2753251158144,5.6281058138838e-31,5.63185980955237e-30,59.0118806890203
"PLXNA3",1.14683056300621,3.24213250372783,12.2742757601729,5.68641055365654e-31,5.68728538604941e-30,59.001636490636
"BUB1",1.22089250491611,1.63209950938706,12.2662633615095,6.15187205216292e-31,6.14651437670766e-30,58.9234335106291
"HHLA2",2.9910742268761,4.66969425579712,12.2649131722533,6.23395901967279e-31,6.2253406431479e-30,58.9102582967732
"HLA-DPA1",1.77167344625861,7.88125717528936,12.2645403348965,6.25681771995033e-31,6.24497011218993e-30,58.9066202820595
"ADAMTS10",1.58576790741115,2.84921845592249,12.2637508502749,6.30549680744234e-31,6.29033781256e-30,58.8989169864331
"RGS14",1.26893425124872,4.78280485589738,12.2636194353444,6.31363627536572e-31,6.29523764204794e-30,58.8976347503914
"SYPL2",-1.35666198922644,2.83883524719736,-12.2540190224482,6.93743132151867e-31,6.91368027918133e-30,58.8039839556587
"PM20D1",-1.2094291750096,0.846704394146381,-12.2521283480539,7.0673239158394e-31,7.03953106897936e-30,58.785545773234
"ARHGEF1",1.09493528194281,4.71757658963358,12.2432773271949,7.70832953938607e-31,7.66626981165969e-30,58.6992514449225
"VAV3",-1.42867554678791,4.91771143244569,-12.2429403018721,7.73384896533718e-31,7.68772968251636e-30,58.6959662953588
"SLC43A1",-1.17028343180086,2.61412440627906,-12.2414076954627,7.85096193742455e-31,7.80016865336684e-30,58.6810279103356
"MAPK8IP3",1.63657787868508,3.84645485254613,12.2397652929283,7.97842451802483e-31,7.91873859414953e-30,58.6650205646742
"PRC1",1.10338300836894,2.77257995782223,12.2390405757889,8.03532077782402e-31,7.96710020995942e-30,58.6579576587658
"NHSL1",-1.13215597605625,2.99504123579069,-12.2372516198468,8.17750305040865e-31,8.10395538577845e-30,58.6405240152365
"SCD5",-2.44820542132512,4.17840241892164,-12.2351337390063,8.34906729925403e-31,8.26977448132816e-30,58.6198868976187
"SIRPG",1.76814287854927,2.10769959797895,12.2329137924198,8.53274567248891e-31,8.44741821576403e-30,58.5982574959663
"CTHRC1",2.50955282329589,4.29233817266002,12.2317298930394,8.63233996511552e-31,8.54168068694308e-30,58.5867234672257
"PLK1",1.22923944908045,1.768006748268,12.2258368554021,9.14556139093747e-31,9.03575905812834e-30,58.5293209289191
"C16orf54",1.29384475515288,2.3902593934567,12.216371668955,1.00341652408603e-30,9.88365276224743e-30,58.4371573054629
"AXL",1.56962555625627,5.74771220925648,12.2132255644129,1.03481510154807e-30,1.01877834050944e-29,58.4065326828763
"RALGDS",1.05159068185628,4.4298311954426,12.2108853740088,1.05880291623503e-30,1.04186848008738e-29,58.3837559734326
"SLC11A1",1.31624729339782,2.0191686500878,12.208591110211,1.08285699995414e-30,1.06500050782177e-29,58.3614287722475
"PTPN3",-1.37883540461165,3.9953403529797,-12.2078084644193,1.09118638216745e-30,1.07265161347842e-29,58.3538128282389
"SLC25A15",-1.09432334855989,2.73333373577049,-12.1994985457912,1.18365537501379e-30,1.16062497631443e-29,58.2729666823405
"ANKZF1",1.24393328754427,4.22573838982137,12.1899202752006,1.29994856698614e-30,1.27337503274388e-29,58.1798214346114
"BTN3A3",1.3203779903681,4.60158913322765,12.184961010972,1.36455876113686e-30,1.33599344972149e-29,58.1316114396057
"CD8B",2.08333521704302,2.72305889677885,12.1810537458415,1.41770573996697e-30,1.38733141227175e-29,58.0936363469386
"NCMAP",-1.18510504411452,0.818825635729522,-12.1765580211166,1.48140997438397e-30,1.448943767824e-29,58.0499509149362
